Gene,GSM461348,GSM461349,GSM461350,GSM1634925,GSM1634926,GSM1634927,GSM1634928,GSM1634937,GSM1634938,GSM1634939,GSM1701025,GSM1701026,GSM1701027,GSM1701038,GSM1701039,GSM1701040
C4orf33,10.9879,12.2338,6.20676,3.866505,5.052858,3.860439,3.610278,4.777216,5.235132,5.96209,1.80215,1.72736,1.78336,2.12476,1.98074,1.88793
RDH10,13.9704,12.5634,13.7891,4.823292,4.109368,4.476694,3.837235,5.823161,4.237443,5.664097,1.66524,1.67185,1.61167,2.30137,1.78833,1.52967
ANKAR,10.6009,12.204,15.3199,4.002093,4.885364,4.096682,3.297262,4.908102,4.476362,5.032883,2.13337,1.94228,2.19849,2.13337,1.98565,2.44497
PTPRC,14.5597,9.79863,16.3152,4.714504,2.897484,3.161006,4.10207,2.962057,3.196703,3.412039,1.43761,1.57043,1.59059,1.76759,2.51191,1.71874
CPA6,14.483,18.1402,13.7362,9.44486,9.962327,10.65987,10.02107,10.91025,10.29753,9.800626,1.76072,1.75257,2.11737,2.24458,1.84663,1.44758
WBP2NL,13.1301,45.9884,30.4879,5.599238,7.949703,8.711231,4.541076,7.975001,8.874582,8.149518,2.29446,2.8432,4.28199,3.30241,2.56038,1.90799
TIGD4,3.49976,6.41037,3.44665,6.155777,9.167468,9.374791,6.703219,9.945643,10.37283,10.85637,2.09182,1.50924,1.86695,2.36086,2.53551,2.85432
MIPOL1,6.48501,3.87056,1.71982,9.86442,6.956898,6.098254,9.157993,6.094441,7.797205,5.329339,1.82655,1.38622,1.85573,2.68547,1.93384,1.55706
MMP21,2.02817,2.3379,4.08832,5.45663,5.465034,5.603587,5.603062,6.138917,5.659161,5.800503,1.97158,1.73022,1.95484,2.54425,1.80187,1.78129
PCDHGB7,1.43447,5.69046,1.04397,5.852011,7.847466,10.00441,6.823927,9.214849,8.984291,9.258951,1.58667,1.6575,1.76432,2.22173,2.21185,1.58645
LRRC7,5.82794,7.42686,3.90254,5.350476,7.283035,6.687229,4.716925,7.08019,7.202211,8.107698,1.70296,1.90799,1.72712,1.95624,2.22986,2.00452
DIRC1,8.64323,13.6365,9.99738,7.324836,8.33082,8.858649,7.724973,8.651064,8.737183,8.191481,1.69133,1.372,1.55829,2.62662,1.97117,1.7509
DNAJB7,8.7313,11.8425,12.8853,7.360537,5.653738,6.539638,6.619837,7.712551,7.180904,7.326819,1.77922,1.63546,1.49233,1.69756,1.8029,1.99531
SLC2A13,8.27892,4.12339,2.03907,4.78889,3.922359,4.666755,4.830509,4.315634,3.113906,3.340613,1.70268,1.84849,1.86695,2.34908,1.92778,1.88681
HS6ST2,11.5736,9.97062,12.1363,5.237596,7.83235,7.211048,4.997469,7.213884,5.105413,5.434432,1.85013,1.75272,1.85013,3.43282,2.29733,1.8657
ZNF417,4.33011,0.299494,4.67924,5.237596,7.773118,7.749078,5.314418,9.135142,9.056352,8.968785,1.81518,1.77778,1.47599,2.38971,2.12325,1.82519
CILK1,13.9541,17.7864,9.66606,4.558979,9.760122,9.515775,4.466938,9.353206,8.546885,8.510426,1.54119,1.49878,1.58991,2.21223,1.74214,1.55104
FMR1NB,9.46839,4.6152,4.18844,7.334024,6.710976,7.140189,7.447624,8.332121,9.129453,8.360204,1.93864,1.6925,1.86193,3.30241,1.93471,1.72972
MAGEB18,6.96047,7.41801,3.59602,3.170877,2.567331,3.990262,3.178012,5.626035,5.648654,8.122462,1.48234,1.52606,1.75197,2.50207,1.89369,1.7924
RIMS1,10.3459,10.6001,8.09055,9.259006,12.03417,11.84435,9.781868,11.87538,11.54241,11.9626,1.73598,1.80681,1.82875,2.22377,2.31408,1.92686
ANGPT1,8.49644,14.3525,14.5524,7.015079,11.28583,11.74027,9.152889,11.18519,10.97947,10.50591,1.59698,1.63928,1.6728,1.90359,1.74214,1.51111
LINC02551,2.48402,3.39963,7.60051,4.632122,4.413867,3.712873,4.82569,5.39225,3.188733,3.614848,1.48539,1.37888,1.90177,1.63735,1.7731,1.62697
STARD6,14.5672,10.1128,24.6419,5.608426,8.230064,8.079234,4.88522,9.360422,7.823333,8.394733,1.94012,2.02647,1.9517,2.62921,1.85266,2.0415
KDM1B,13.9871,20.629,24.7918,9.00918,11.23474,10.79841,8.382773,11.49658,10.62383,10.32219,2.09334,1.68007,1.92727,1.83972,2.30354,2.08748
CCDC7,8.72626,5.56239,7.52178,4.099521,3.052829,2.736299,3.781321,5.738895,6.542487,5.282722,2.68854,1.75825,2.13547,2.22515,2.31803,2.32113
LINC00052,11.7229,6.84003,5.61982,5.39385,8.982263,8.986444,5.996312,9.914173,8.488073,7.826648,1.86189,2.22378,2.04266,3.03456,2.02505,2.36135
ERVV-1,12.3427,10.5057,14.2059,4.424282,6.923819,6.979351,4.139176,7.874201,9.743412,8.453775,3.40697,3.27261,3.36686,5.10979,3.36901,3.67934
C2CD6,8.96232,13.8271,18.1276,6.03765,4.6179,4.26315,5.890734,4.40043,3.58227,4.598543,2.12629,2.08956,2.3451,5.26963,2.42355,1.94796
CNOT6L,2.38465,6.5487,7.23926,7.975243,10.50704,10.70745,7.87171,9.303787,8.64397,7.33328,1.3662,1.91457,1.7302,1.93847,1.63453,1.45244
SSMEM1,4.06054,5.02153,2.64705,7.848614,6.446833,6.839019,7.416006,6.587737,6.716734,6.711641,1.79278,1.8261,1.87839,2.04626,2.19196,1.94544
SLC17A8,14.129,6.27377,10.18,7.479913,9.801999,9.206343,7.69043,9.607023,10.11652,9.240774,1.4408,1.42843,1.72886,2.56997,1.64591,1.68865
AQP4-AS1,14.4047,15.6868,13.8527,4.832439,5.661286,6.532131,4.691982,7.730476,4.45237,5.725171,1.63662,1.3535,1.64217,1.92404,1.96598,1.85638
CNTNAP4,2.63336,3.65927,1.41806,6.230365,9.673779,9.946032,6.37531,9.57964,9.736159,9.637851,1.54119,1.49878,1.49233,2.44954,1.9437,1.65783
LINC01931,10.656,6.01253,13.2269,4.764576,4.423415,6.93083,5.338111,3.859365,4.216135,4.586512,2.38859,2.74101,2.24429,3.34941,2.29409,2.66959
GRIK1-AS2,12.0475,6.99844,15.6905,8.054017,12.0773,11.81695,10.08731,11.77752,11.13331,11.81046,1.53402,1.67419,1.82081,2.57062,1.48084,1.67453
FAM98B,1.45635,3.97637,2.40278,8.200375,11.03413,10.98129,8.57637,11.59975,10.54117,10.31353,1.53892,1.60975,1.71775,2.01185,1.86652,2.20236
SYT14,12.212,6.76507,13.1823,6.87522,10.76061,10.50655,6.827641,9.191998,9.799211,9.777072,1.71891,1.49878,1.9533,2.87916,2.0923,1.66527
